speaker ID,gender,age,dialect,transcription filename,audio filename
5,male,30,fongbe,82_fongbe_71ac57a5-79d5-4658-a205-8e362d80ba2f_for_validation_2022-04-02-05-28-53.txt,82_fongbe_71ac57a5-79d5-4658-a205-8e362d80ba2f_for_validation_2022-04-02-05-28-53.wav
2,female,35,fongbe,72_fongbe_1aac4be0-f3f6-4333-be0a-ace47f042db3_for_validation_2022-03-17-03-59-45.txt,72_fongbe_1aac4be0-f3f6-4333-be0a-ace47f042db3_for_validation_2022-03-17-03-59-45.wav
3,male,33,fongbe,71_fongbe_4f1a2555-6038-437a-8a8e-a8bb8407dc98_for_validation_2022-03-06-17-15-46.txt,71_fongbe_4f1a2555-6038-437a-8a8e-a8bb8407dc98_for_validation_2022-03-06-17-15-46.wav
9,female,52,fongbe,88_fongbe_766f9b59-73d1-45fc-8a4c-cff432caed87_for_validation_2022-03-17-14-58-17.txt,88_fongbe_766f9b59-73d1-45fc-8a4c-cff432caed87_for_validation_2022-03-17-14-58-17.wav
3,male,33,fongbe,71_fongbe_001f25e2-3533-4183-a37d-586dfccb73e0_for_validation_2022-03-18-22-55-23.txt,71_fongbe_001f25e2-3533-4183-a37d-586dfccb73e0_for_validation_2022-03-18-22-55-23.wav
3,male,33,fongbe,71_fongbe_e7d8e35d-5685-4f38-a1f8-c2a3a954845a_for_validation_2022-03-20-03-44-45.txt,71_fongbe_e7d8e35d-5685-4f38-a1f8-c2a3a954845a_for_validation_2022-03-20-03-44-45.wav
5,male,30,fongbe,82_fongbe_c61df621-d8e5-41dd-8929-e515b470a8f9_for_validation_2022-03-21-04-13-29.txt,82_fongbe_c61df621-d8e5-41dd-8929-e515b470a8f9_for_validation_2022-03-21-04-13-29.wav
6,male,13,fongbe,84_fongbe_c2554e43-4be4-475d-a2ae-f55c2ed4df8f_for_validation_2022-03-10-14-03-17.txt,84_fongbe_c2554e43-4be4-475d-a2ae-f55c2ed4df8f_for_validation_2022-03-10-14-03-17.wav
2,female,35,fongbe,72_fongbe_ac675efd-8138-4cb9-8128-72b478f23625_for_validation_2022-04-01-02-45-58.txt,72_fongbe_ac675efd-8138-4cb9-8128-72b478f23625_for_validation_2022-04-01-02-45-58.wav
2,female,35,fongbe,72_fongbe_aea087ed-33b6-41ae-98a2-0b980e5de7d0_for_validation_2022-04-04-02-24-22.txt,72_fongbe_aea087ed-33b6-41ae-98a2-0b980e5de7d0_for_validation_2022-04-04-02-24-22.wav
11,female,26,fongbe,90_fongbe_b5ea09c3-1b5a-47a6-bfdf-2f313216c36d_for_validation_2022-04-01-10-13-58.txt,90_fongbe_b5ea09c3-1b5a-47a6-bfdf-2f313216c36d_for_validation_2022-04-01-10-13-58.wav
5,male,30,fongbe,82_fongbe_3c900390-4601-4d5f-8df4-1e62de6b62ba_for_validation_2022-03-14-16-49-23.txt,82_fongbe_3c900390-4601-4d5f-8df4-1e62de6b62ba_for_validation_2022-03-14-16-49-23.wav
4,female,24,fongbe,66_fongbe_a752447ac2e34665858539023349c071_for_validation_2022-03-13-14-08-16.txt,66_fongbe_a752447ac2e34665858539023349c071_for_validation_2022-03-13-14-08-16.wav
13,male,27,fongbe,92_fongbe_9bd9c731-d082-4c24-9867-02c077f59fb3_for_validation_2022-03-29-07-29-02.txt,92_fongbe_9bd9c731-d082-4c24-9867-02c077f59fb3_for_validation_2022-03-29-07-29-02.wav
9,female,52,fongbe,88_fongbe_3af6f6b8-2cd8-47db-9011-17e6acbebe69_for_validation_2022-03-24-08-33-26.txt,88_fongbe_3af6f6b8-2cd8-47db-9011-17e6acbebe69_for_validation_2022-03-24-08-33-26.wav
4,female,24,fongbe,66_fongbe_653f59c310554bd8b77814a71e74217e_for_validation_2022-03-12-22-43-57.txt,66_fongbe_653f59c310554bd8b77814a71e74217e_for_validation_2022-03-12-22-43-57.wav
