id,langue,fichier_audio,transcription_ortho,transcription_ipa,traduction_fr,locuteur,source,paire_minimale,id_paire,ton_patron,conditions,duree_sec,qualite,notes
sw_001,swahili,sw_001.wav,,,,L1_masculin,OpenSLR/ALFFA,non,,NA,studio,2.77,haute,utt_id=16k-emission_swahili_05h30_-_06h00_tu_20101124_part001g
sw_002,swahili,sw_002.wav,,,,L1_masculin,OpenSLR/ALFFA,non,,NA,studio,4.26,haute,utt_id=16k-emission_swahili_05h30_-_06h00_tu_20101124_part002m
sw_003,swahili,sw_003.wav,,,,L1_masculin,OpenSLR/ALFFA,non,,NA,studio,4.41,haute,utt_id=16k-emission_swahili_05h30_-_06h00_tu_20101124_part003m
sw_004,swahili,sw_004.wav,,,,L1_masculin,OpenSLR/ALFFA,non,,NA,studio,3.25,haute,utt_id=16k-emission_swahili_05h30_-_06h00_tu_20101124_part004g
sw_005,swahili,sw_005.wav,,,,L1_masculin,OpenSLR/ALFFA,non,,NA,studio,4.6,haute,utt_id=16k-emission_swahili_05h30_-_06h00_tu_20101124_part005g
sw_006,swahili,sw_006.wav,,,,L1_masculin,OpenSLR/ALFFA,non,,NA,studio,3.51,haute,utt_id=16k-emission_swahili_05h30_-_06h00_tu_20101124_part006g
sw_007,swahili,sw_007.wav,,,,L1_masculin,OpenSLR/ALFFA,non,,NA,studio,4.09,haute,utt_id=16k-emission_swahili_05h30_-_06h00_tu_20101124_part007g
sw_008,swahili,sw_008.wav,,,,L1_masculin,OpenSLR/ALFFA,non,,NA,studio,3.04,haute,utt_id=16k-emission_swahili_05h30_-_06h00_tu_20101124_part008g
sw_009,swahili,sw_009.wav,,,,L1_masculin,OpenSLR/ALFFA,non,,NA,studio,2.76,haute,utt_id=16k-emission_swahili_05h30_-_06h00_tu_20101124_part009g
sw_010,swahili,sw_010.wav,,,,L1_masculin,OpenSLR/ALFFA,non,,NA,studio,3.86,haute,utt_id=16k-emission_swahili_05h30_-_06h00_tu_20101124_part010g
sw_011,swahili,sw_011.wav,,,,L1_masculin,OpenSLR/ALFFA,non,,NA,studio,4.51,haute,utt_id=16k-emission_swahili_05h30_-_06h00_tu_20101124_part011g
sw_012,swahili,sw_012.wav,,,,L1_masculin,OpenSLR/ALFFA,non,,NA,studio,2.45,haute,utt_id=16k-emission_swahili_05h30_-_06h00_tu_20101124_part012g
sw_013,swahili,sw_013.wav,,,,L1_masculin,OpenSLR/ALFFA,non,,NA,studio,2.44,haute,utt_id=16k-emission_swahili_05h30_-_06h00_tu_20101124_part013g
