anchor_id,top5_ids,top5_scores
3314,"[np.int64(4861), np.int64(41968), np.int64(8356), np.int64(40162), np.int64(34039)]","[np.float32(0.863), np.float32(0.862), np.float32(0.859), np.float32(0.859), np.float32(0.808)]"
4543,"[np.int64(36464), np.int64(5739), np.int64(6852), np.int64(15743), np.int64(15270)]","[np.float32(0.938), np.float32(0.934), np.float32(0.93), np.float32(0.928), np.float32(0.926)]"
15270,"[np.int64(17041), np.int64(14500), np.int64(4543), np.int64(36464), np.int64(49509)]","[np.float32(0.935), np.float32(0.932), np.float32(0.926), np.float32(0.918), np.float32(0.912)]"
17993,"[np.int64(27906), np.int64(12677), np.int64(27018), np.int64(26822), np.int64(11279)]","[np.float32(0.937), np.float32(0.936), np.float32(0.921), np.float32(0.918), np.float32(0.917)]"
20610,"[np.int64(35915), np.int64(36523), np.int64(38315), np.int64(36069), np.int64(53921)]","[np.float32(0.882), np.float32(0.87), np.float32(0.869), np.float32(0.852), np.float32(0.852)]"
22971,"[np.int64(15663), np.int64(35183), np.int64(13697), np.int64(15919), np.int64(39525)]","[np.float32(0.893), np.float32(0.855), np.float32(0.84), np.float32(0.837), np.float32(0.806)]"
24532,"[np.int64(34573), np.int64(28688), np.int64(42200), np.int64(32579), np.int64(42805)]","[np.float32(0.91), np.float32(0.902), np.float32(0.886), np.float32(0.886), np.float32(0.883)]"
24756,"[np.int64(17290), np.int64(14080), np.int64(18878), np.int64(9636), np.int64(12272)]","[np.float32(0.923), np.float32(0.908), np.float32(0.872), np.float32(0.87), np.float32(0.867)]"
25521,"[np.int64(13566), np.int64(50192), np.int64(17879), np.int64(13611), np.int64(50555)]","[np.float32(0.954), np.float32(0.942), np.float32(0.936), np.float32(0.924), np.float32(0.923)]"
28064,"[np.int64(50692), np.int64(50689), np.int64(45657), np.int64(47253), np.int64(50506)]","[np.float32(0.942), np.float32(0.918), np.float32(0.915), np.float32(0.902), np.float32(0.901)]"
30412,"[np.int64(22786), np.int64(12828), np.int64(28804), np.int64(14117), np.int64(51365)]","[np.float32(0.986), np.float32(0.979), np.float32(0.976), np.float32(0.955), np.float32(0.954)]"
33057,"[np.int64(8725), np.int64(17289), np.int64(18858), np.int64(24146), np.int64(25394)]","[np.float32(0.915), np.float32(0.908), np.float32(0.907), np.float32(0.906), np.float32(0.883)]"
38433,"[np.int64(14799), np.int64(39525), np.int64(21507), np.int64(25250), np.int64(36664)]","[np.float32(0.825), np.float32(0.796), np.float32(0.793), np.float32(0.782), np.float32(0.772)]"
39994,"[np.int64(16888), np.int64(38204), np.int64(28413), np.int64(16890), np.int64(38210)]","[np.float32(0.972), np.float32(0.97), np.float32(0.964), np.float32(0.963), np.float32(0.962)]"
41993,"[np.int64(4978), np.int64(13345), np.int64(8834), np.int64(43589), np.int64(27230)]","[np.float32(0.862), np.float32(0.846), np.float32(0.841), np.float32(0.841), np.float32(0.834)]"
