anchor_id,top5_ids
3314,"[np.int64(24146), np.int64(8356), np.int64(38808), np.int64(2191), np.int64(34371)]"
4543,"[np.int64(15726), np.int64(15743), np.int64(42988), np.int64(4445), np.int64(6852)]"
15270,"[np.int64(41832), np.int64(34832), np.int64(40316), np.int64(3795), np.int64(17041)]"
17993,"[np.int64(2113), np.int64(27906), np.int64(7885), np.int64(57217), np.int64(48497)]"
20610,"[np.int64(53921), np.int64(27060), np.int64(21937), np.int64(35915), np.int64(58266)]"
22971,"[np.int64(15663), np.int64(39525), np.int64(37690), np.int64(35183), np.int64(22677)]"
24532,"[np.int64(32244), np.int64(33027), np.int64(15832), np.int64(28688), np.int64(42534)]"
24756,"[np.int64(17289), np.int64(17290), np.int64(17879), np.int64(59442), np.int64(14080)]"
25521,"[np.int64(25394), np.int64(50555), np.int64(13566), np.int64(50192), np.int64(17879)]"
28064,"[np.int64(50506), np.int64(50526), np.int64(50689), np.int64(45657), np.int64(50692)]"
30412,"[np.int64(22786), np.int64(28804), np.int64(12828), np.int64(43246), np.int64(56852)]"
33057,"[np.int64(8725), np.int64(12828), np.int64(24146), np.int64(18912), np.int64(22786)]"
38433,"[np.int64(53654), np.int64(54019), np.int64(14799), np.int64(28442), np.int64(21937)]"
39994,"[np.int64(16951), np.int64(51707), np.int64(16879), np.int64(49673), np.int64(16898)]"
41993,"[np.int64(10018), np.int64(39326), np.int64(27230), np.int64(13345), np.int64(4978)]"
42804,"[np.int64(42805), np.int64(57378), np.int64(28891), np.int64(28828), np.int64(19359)]"
46133,"[np.int64(54156), np.int64(48336), np.int64(54150), np.int64(59516), np.int64(56212)]"
48348,"[np.int64(38433), np.int64(47315), np.int64(53654), np.int64(51918), np.int64(37408)]"
48497,"[np.int64(52524), np.int64(57217), np.int64(51351), np.int64(48391), np.int64(51365)]"
48581,"[np.int64(59782), np.int64(46205), np.int64(48560), np.int64(43755), np.int64(48588)]"
50773,"[np.int64(15060), np.int64(33358), np.int64(33700), np.int64(30262), np.int64(6495)]"
53463,"[np.int64(39539), np.int64(51050), np.int64(53464), np.int64(59724), np.int64(21611)]"
54103,"[np.int64(45785), np.int64(56957), np.int64(13479), np.int64(43950), np.int64(47575)]"
56682,"[np.int64(51635), np.int64(56674), np.int64(31821), np.int64(51644), np.int64(29411)]"
58086,"[np.int64(58072), np.int64(58610), np.int64(58059), np.int64(58141), np.int64(58605)]"
59484,"[np.int64(59782), np.int64(48588), np.int64(48991), np.int64(42623), np.int64(48710)]"
13566,"[np.int64(13611), np.int64(49978), np.int64(50634), np.int64(25521), np.int64(50192)]"
14877,"[np.int64(53886), np.int64(21937), np.int64(14807), np.int64(43227), np.int64(14799)]"
39028,"[np.int64(37298), np.int64(45174), np.int64(37295), np.int64(45146), np.int64(36798)]"
20773,"[np.int64(56891), np.int64(24077), np.int64(43950), np.int64(57007), np.int64(30262)]"
