anchor_id,top5_ids,top5_scores
3314,"[41403, 42394, 38808, 39345, 26486]","[0.22613143667517965, 0.20472415654436693, 0.2010183050601599, 0.19902740231689886, 0.19257027330545365]"
4543,"[15726, 59338, 15743, 19308, 4445]","[0.3870939188164906, 0.2097120741772003, 0.20339099329099897, 0.1929741976594702, 0.1859728731971462]"
15270,"[7267, 49483, 40316, 15298, 22101]","[0.24297624901192968, 0.2354050287585211, 0.2351737333488305, 0.23097610978273636, 0.17935062131540602]"
17993,"[7885, 2113, 26486, 26448, 26614]","[0.3157295061669649, 0.30083072006784617, 0.18933000174978581, 0.18508950165253352, 0.1787076967737603]"
20610,"[58266, 47346, 38433, 47315, 53654]","[0.32913092446329006, 0.2712645167228005, 0.24650390454849405, 0.23752793790001364, 0.21462395626635666]"
22971,"[17289, 39525, 33057, 36042, 35183]","[0.42245852600521994, 0.3451704921204296, 0.3149986710486673, 0.27664106017279405, 0.2671868914598433]"
24532,"[42534, 33027, 32244, 59366, 34573]","[0.5811951384471364, 0.4189592428245733, 0.3284091163300802, 0.24299150334816824, 0.1959054993187782]"
24756,"[17290, 14080, 48348, 59442, 51918]","[0.33261804380341775, 0.2745305537935025, 0.2636350551519443, 0.2494733710091555, 0.23419060608113307]"
25521,"[50634, 25394, 50555, 17879, 49978]","[0.5236697613709919, 0.44948704297297326, 0.3948253174816736, 0.3942317793666664, 0.3654020312048393]"
28064,"[27507, 27995, 50526, 47253, 50448]","[0.29579912305730366, 0.2751807735492686, 0.2684835636592908, 0.26296055296317267, 0.24947265518994471]"
30412,"[22786, 14117, 28804, 12828, 51365]","[0.6450855409951198, 0.3593435280928289, 0.31268004378276004, 0.3126712064752381, 0.2991664397221775]"
33057,"[17289, 22971, 8389, 18858, 51365]","[0.4189400016199188, 0.3149986710486673, 0.24714175801607044, 0.2324627120992277, 0.22578923909720813]"
38433,"[58266, 48348, 54019, 47315, 47346]","[0.3863746607674181, 0.3138519287769896, 0.2874150909531665, 0.2511351605427006, 0.250841164378233]"
39994,"[38210, 28413, 48218, 45657, 38216]","[0.35071449645477376, 0.33660432832188414, 0.3181496521551148, 0.3009390546161631, 0.29419558129839385]"
41993,"[41968, 4978, 40162, 39326, 13345]","[0.3957482017648891, 0.3933971738350054, 0.37255943444430323, 0.3599127830263665, 0.35204155369530843]"
42804,"[42805, 50526, 57378, 50692, 50406]","[0.46536618111607025, 0.26895923774563923, 0.22361976034011974, 0.2056807934255695, 0.19601045632982594]"
46133,"[52827, 56212, 54156, 59516, 48336]","[0.26938496819809354, 0.26617004859929005, 0.24510390038458102, 0.22616599791360362, 0.21832616450831463]"
48348,"[53654, 52581, 38433, 51918, 47346]","[0.34336861393948637, 0.3264517278859366, 0.3138519287769896, 0.3088091694281641, 0.28838391964130733]"
48497,"[48391, 26821, 12287, 26166, 56891]","[0.5571783201617578, 0.27073143884144335, 0.23763805002442226, 0.22802888359746296, 0.21349456818633541]"
48581,"[48560, 31821, 25651, 28337, 48588]","[0.49341214176450876, 0.23398633485437467, 0.23013751972733254, 0.2199380402297382, 0.21701214946332748]"
50773,"[15060, 33700, 9090, 33358, 7267]","[0.3638152331036328, 0.3619266264546741, 0.3342382807079527, 0.30834811227480535, 0.2597363797006205]"
53463,"[53464, 57313, 39539, 21611, 51050]","[0.6272745493594989, 0.4864693851181281, 0.3352972778080076, 0.27624871961877123, 0.23696719684558618]"
54103,"[13479, 56957, 56891, 51351, 59705]","[0.5447857857569206, 0.3102057450061454, 0.233774414703761, 0.2103981244066907, 0.19774674492205593]"
56682,"[56674, 45872, 36798, 32374, 51635]","[0.5565117403382852, 0.4003303267232936, 0.38920627784461576, 0.3864858213769562, 0.36534081062197477]"
58086,"[58141, 58059, 58072, 48701, 58041]","[0.513162324103178, 0.4699741560925571, 0.4699517359124697, 0.36463292240039635, 0.3634332450161126]"
59484,"[56209, 48991, 48710, 48596, 48701]","[0.28155301775970853, 0.24672821577979245, 0.2360063342345139, 0.2292648252571714, 0.21923170090888378]"
13566,"[13611, 49978, 50634, 25394, 25521]","[0.39266741802701394, 0.3466562406700581, 0.30504179847845186, 0.2797770395724502, 0.26816528420597213]"
14877,"[14799, 14807, 43227, 49661, 14599]","[0.6441253854094837, 0.6074080750319203, 0.5426368699608408, 0.49885486472061313, 0.4890574997736197]"
39028,"[45146, 37298, 45174, 37295, 45872]","[0.5339180879636118, 0.5287978326874347, 0.498589560435291, 0.37340114751215203, 0.34551801128492]"
20773,"[47630, 57007, 10203, 24077, 17319]","[0.5104628833279845, 0.33306612613714304, 0.24124344789386928, 0.23455694153727957, 0.21729701816220862]"
