anchor_id,top5_ids,top5_scores
3314,"[np.int64(8389), np.int64(4861), np.int64(39345), np.int64(34039), np.int64(26486)]","[np.float32(0.71), np.float32(0.647), np.float32(0.63), np.float32(0.628), np.float32(0.605)]"
4543,"[np.int64(15270), np.int64(15743), np.int64(5739), np.int64(6852), np.int64(4445)]","[np.float32(0.696), np.float32(0.69), np.float32(0.688), np.float32(0.683), np.float32(0.683)]"
15270,"[np.int64(17041), np.int64(14500), np.int64(6431), np.int64(34832), np.int64(15743)]","[np.float32(0.775), np.float32(0.76), np.float32(0.75), np.float32(0.722), np.float32(0.711)]"
17993,"[np.int64(27906), np.int64(48391), np.int64(7885), np.int64(12677), np.int64(10018)]","[np.float32(0.676), np.float32(0.67), np.float32(0.653), np.float32(0.619), np.float32(0.6)]"
20610,"[np.int64(58266), np.int64(53886), np.int64(21560), np.int64(21937), np.int64(36664)]","[np.float32(0.827), np.float32(0.782), np.float32(0.763), np.float32(0.763), np.float32(0.753)]"
22971,"[np.int64(22677), np.int64(15919), np.int64(35183), np.int64(15663), np.int64(43227)]","[np.float32(0.781), np.float32(0.755), np.float32(0.733), np.float32(0.699), np.float32(0.694)]"
24532,"[np.int64(28688), np.int64(15832), np.int64(42534), np.int64(59366), np.int64(11793)]","[np.float32(0.731), np.float32(0.727), np.float32(0.697), np.float32(0.689), np.float32(0.658)]"
24756,"[np.int64(14080), np.int64(17290), np.int64(37148), np.int64(25394), np.int64(24146)]","[np.float32(0.732), np.float32(0.689), np.float32(0.647), np.float32(0.639), np.float32(0.639)]"
25521,"[np.int64(50555), np.int64(13566), np.int64(17879), np.int64(50192), np.int64(49978)]","[np.float32(0.815), np.float32(0.767), np.float32(0.757), np.float32(0.756), np.float32(0.751)]"
28064,"[np.int64(45657), np.int64(50689), np.int64(50692), np.int64(47253), np.int64(50506)]","[np.float32(0.947), np.float32(0.929), np.float32(0.913), np.float32(0.871), np.float32(0.837)]"
30412,"[np.int64(28804), np.int64(12828), np.int64(22786), np.int64(11279), np.int64(54800)]","[np.float32(0.908), np.float32(0.879), np.float32(0.835), np.float32(0.81), np.float32(0.806)]"
33057,"[np.int64(24146), np.int64(31279), np.int64(8725), np.int64(34371), np.int64(18858)]","[np.float32(0.694), np.float32(0.687), np.float32(0.679), np.float32(0.637), np.float32(0.627)]"
38433,"[np.int64(14799), np.int64(34462), np.int64(47315), np.int64(53654), np.int64(22677)]","[np.float32(0.505), np.float32(0.473), np.float32(0.464), np.float32(0.459), np.float32(0.442)]"
39994,"[np.int64(16890), np.int64(38210), np.int64(23725), np.int64(28421), np.int64(16951)]","[np.float32(0.962), np.float32(0.953), np.float32(0.951), np.float32(0.943), np.float32(0.936)]"
41993,"[np.int64(13345), np.int64(4978), np.int64(27230), np.int64(28515), np.int64(39326)]","[np.float32(0.607), np.float32(0.602), np.float32(0.559), np.float32(0.513), np.float32(0.492)]"
42804,"[np.int64(42805), np.int64(41403), np.int64(45094), np.int64(53535), np.int64(57378)]","[np.float32(0.82), np.float32(0.661), np.float32(0.628), np.float32(0.618), np.float32(0.602)]"
46133,"[np.int64(54150), np.int64(43706), np.int64(43705), np.int64(48886), np.int64(54156)]","[np.float32(0.812), np.float32(0.71), np.float32(0.673), np.float32(0.662), np.float32(0.632)]"
48348,"[np.int64(47315), np.int64(34462), np.int64(37408), np.int64(14799), np.int64(38315)]","[np.float32(0.641), np.float32(0.532), np.float32(0.519), np.float32(0.444), np.float32(0.438)]"
48497,"[np.int64(51351), np.int64(52524), np.int64(51365), np.int64(27018), np.int64(14117)]","[np.float32(0.703), np.float32(0.702), np.float32(0.694), np.float32(0.662), np.float32(0.617)]"
48581,"[np.int64(50406), np.int64(56209), np.int64(46036), np.int64(59516), np.int64(48886)]","[np.float32(0.542), np.float32(0.541), np.float32(0.501), np.float32(0.498), np.float32(0.448)]"
