language,tokenizer,total_tokens,total_words,avg_fertility,surcout_pct,cout_par_1M_mots_usd
Français,tiktoken,397,253,1.5691699604743083,0.0,3.9229
Wolof,tiktoken,932,304,3.0657894736842106,134.8,7.6645
Yoruba,tiktoken,1752,260,6.7384615384615385,341.3,16.8462
Swahili,tiktoken,810,213,3.8028169014084505,104.0,9.507
Fongbé,tiktoken,1306,317,4.1198738170347005,229.0,10.2997
Français,sentencepiece,401,253,1.5849802371541502,0.0,3.9625
Wolof,sentencepiece,881,304,2.898026315789474,119.7,7.2451
Yoruba,sentencepiece,770,260,2.9615384615384617,92.0,7.4038
Swahili,sentencepiece,467,213,2.192488262910798,16.5,5.4812
Fongbé,sentencepiece,1159,317,3.6561514195583595,189.0,9.1404
Français,caractere,1663,253,6.573122529644269,0.0,16.4328
Wolof,caractere,1416,304,4.657894736842105,-14.9,11.6447
Yoruba,caractere,1369,260,5.265384615384615,-17.7,13.1635
Swahili,caractere,1409,213,6.615023474178404,-15.3,16.5376
Fongbé,caractere,1326,317,4.182965299684542,-20.3,10.4574
