id,langue,locuteur,ton_patron,paire_minimale,id_paire,duree_sec,f0_mean,f0_std,f0_range_hz,f0_range_st,f0_slope_hz_per_ms,n_inflexions_per_sec,voiced_ratio,mfcc_01_mean,mfcc_02_mean,mfcc_03_mean,mfcc_04_mean,mfcc_05_mean,mfcc_06_mean,mfcc_07_mean,mfcc_08_mean,mfcc_09_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,delta_energy_mean,delta2_energy_mean
wol_001,wolof,L1_inconnu,,non,,2.895,148.3,29.37,168.68,20.4,0.0178,13.1,0.672,-531.5978,119.2184,33.6025,26.5559,9.0831,9.9068,-3.5089,5.1086,-4.6656,2.7584,-6.9492,12.2227,-11.0198,3.6796,2.0176
wol_002,wolof,L1_inconnu,,non,,2.664,261.25,45.87,129.97,8.7,-0.1094,10.11,0.356,-451.7088,36.8061,-14.3233,12.9287,-25.6198,-4.1331,-7.9479,2.5391,-4.3993,-8.0562,-13.0379,3.2338,-13.2609,2.3912,1.185
wol_003,wolof,L1_inconnu,,non,,5.273,198.27,55.29,218.15,23.6,0.0259,10.8,0.451,-464.9647,109.3173,8.3144,26.7962,-5.4657,2.1494,-8.0279,1.5609,-6.4587,0.9782,-6.3746,1.4954,-5.4013,1.515,0.8775
wol_004,wolof,L1_inconnu,,non,,8.999,137.06,20.13,102.96,12.5,-0.0047,15.89,0.671,-415.2379,94.9716,6.2071,49.8695,3.0651,9.0095,7.1021,-6.0674,-12.3946,-3.4082,-12.8949,10.0199,-11.149,3.2662,1.7271
wol_005,wolof,L1_inconnu,,non,,5.22,116.9,8.17,48.96,7.9,-0.0078,8.22,0.291,-463.6488,91.1642,17.6383,21.8732,4.8423,4.714,-9.8404,-1.3066,-13.1038,7.4162,-9.1915,4.3483,-5.8381,2.0198,1.0958
wol_006,wolof,L1_inconnu,,non,,15.181,191.42,51.47,245.58,17.1,0.0022,6.32,0.198,-293.5449,132.3569,-7.5285,10.9331,-19.1986,-7.3913,-34.8644,-26.3894,-25.4848,-7.2694,-18.898,-5.7467,-13.3152,1.7263,0.9567
wol_007,wolof,L1_inconnu,,non,,4.683,145.85,22.53,113.99,16.0,-0.004,13.65,0.533,-402.5185,113.1359,12.9956,29.6072,8.5571,-0.8283,-4.3251,-4.2001,-7.3063,-0.9883,-9.1371,-0.5309,-14.3323,2.0714,1.0683
wol_008,wolof,L1_inconnu,,non,,4.143,120.39,12.25,61.76,10.4,-0.001,17.35,0.622,-399.3757,124.1612,7.1263,37.9591,3.3314,10.377,5.3631,-2.3587,-11.041,2.7738,-13.1184,7.3885,-6.3776,1.8271,0.9742
wol_009,wolof,L1_inconnu,,non,,2.064,190.33,20.85,72.58,6.8,-0.1471,1.45,0.188,-456.0649,109.7129,-31.2305,13.1281,-20.5635,-16.113,4.8122,-17.9097,-10.1481,-11.6419,-12.9926,8.4357,-10.1858,3.7669,1.9369
wol_010,wolof,L1_inconnu,,non,,10.785,133.59,43.84,240.0,22.1,-0.0053,9.36,0.42,-384.9056,98.5399,10.973,11.1856,-20.529,-6.5594,-27.7895,-5.0378,-21.4415,2.7818,-11.3718,-4.793,-10.5988,2.7444,1.4638
wol_011,wolof,L1_inconnu,,non,,3.245,125.8,13.59,80.82,11.7,-0.0166,14.77,0.495,-506.1678,113.0049,13.4646,39.3476,14.1937,9.5393,9.6614,-8.695,-6.3406,-0.1243,-0.6988,-2.6093,-6.862,2.7773,1.4203
wol_012,wolof,L1_inconnu,,non,,5.073,190.21,28.59,161.74,19.9,-0.0307,10.63,0.39,-436.1947,110.1855,-4.7739,21.7471,-10.3837,5.1555,-11.3368,1.7334,-6.5191,5.5272,-3.0388,-1.5367,-5.213,1.6371,0.9215
wol_013,wolof,L1_inconnu,,non,,2.453,204.5,23.84,111.33,10.0,0.0042,17.07,0.707,-487.9594,115.029,16.1634,32.0137,0.1509,-15.9925,-19.2887,-7.3654,-7.5934,8.6643,-18.7426,2.7863,-11.9625,3.8039,2.1848
wol_014,wolof,L1_inconnu,,non,,3.7,96.73,12.84,43.37,7.9,0.0002,13.48,0.342,-460.1444,100.801,23.1896,45.8058,4.1455,4.0685,-9.1782,5.5072,-9.3883,-1.0721,-7.805,4.5723,-3.5367,2.0145,1.1381
wol_015,wolof,L1_inconnu,,non,,3.024,216.57,22.88,88.33,6.8,-0.0709,3.63,0.182,-475.2453,67.8031,27.6922,8.2152,-4.0426,14.2044,-22.8856,5.6591,-16.7236,3.8084,-3.8392,-4.9616,-1.7586,3.0472,1.616
wol_016,wolof,L1_inconnu,,non,,4.176,169.21,54.61,258.91,23.5,-0.046,11.72,0.577,-482.7623,62.0324,-26.1862,33.2875,-12.0011,-10.4283,-7.3827,-15.8719,-9.4271,5.8504,-12.768,0.5377,-17.3267,2.8717,1.259
wol_017,wolof,L1_inconnu,,non,,2.664,251.04,17.54,86.73,6.2,-0.0463,6.74,0.288,-487.9493,114.7881,3.0666,9.8403,9.4976,-5.8923,-4.4979,-3.1419,0.8997,-2.0638,-6.3888,0.7427,-2.3534,2.1986,1.0808
wol_018,wolof,L1_inconnu,,non,,2.184,190.71,107.11,259.96,20.6,0.2419,5.94,0.219,-500.1734,104.9708,-40.4905,9.2196,-13.0016,-21.8512,-6.3773,-9.0497,-5.6868,-2.6154,-11.4215,-4.3671,-9.6683,3.867,1.8181
wol_019,wolof,L1_inconnu,,non,,4.156,132.64,18.28,118.41,16.4,-0.0028,18.03,0.69,-393.0421,110.7202,16.0015,49.3265,-3.8864,0.8648,-4.9382,-13.5683,-11.5028,2.7277,-19.8911,12.3339,-6.4301,2.1645,1.0693
wol_020,wolof,L1_inconnu,,non,,2.136,110.68,3.38,15.15,2.4,-0.0004,7.94,0.243,-709.5346,62.9976,0.2548,6.0261,1.5352,-5.1377,-2.0788,8.0128,-14.6211,-7.6139,-3.3155,-2.6699,-1.8834,2.1583,0.9108
